Estimates of Stillbirths by UNICEF region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region.Name,Uncertainty.Bounds*,2000.5,2001.5,2002.5,2003.5,2004.5,2005.5,2006.5,2007.5,2008.5,2009.5,2010.5,2011.5,2012.5,2013.5,2014.5,2015.5,2016.5,2017.5,2018.5,2019.5,2020.5,2021.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,Lower,723026,729064,734149,740085,746105,752741,759401,765769,774529,780277,784201,788321,790332,791623,794067,796847,799690,804596,809671,812086,813743,813044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,Median,793371,800334,805143,809607,814199,821293,826558,832492,840738,845903,850690,854783,855627,856748,858911,861043,864119,868863,875116,879129,881134,881965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,Upper,925072,929107,930338,931982,933319,938136,941427,945932,952239,954314,956597,960436,959791,959359,961002,964507,969273,977239,986067,994182,998879,1005058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West and Central Africa,Lower,353392,358204,362889,367237,371226,377011,380729,385435,389539,395611,399863,404387,408521,411100,414371,417534,421544,425453,429640,433059,435801,438156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West and Central Africa,Median,413848,419061,423910,428190,430808,435849,439245,443241,448475,453651,458408,463437,467229,469656,473328,476922,480863,485957,491573,496290,500491,503901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West and Central Africa,Upper,515305,518312,522116,525204,526418,529186,532327,535288,540690,545247,548510,552819,554885,558814,564446,568360,574962,584038,592770,600149,606275,613697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and Southern Africa,Lower,341311,343667,344520,345815,348398,350621,353769,356922,360368,361561,362881,362243,360397,359800,358664,358025,357199,357481,357760,357036,353478,350368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and Southern Africa,Median,379523,381273,381233,381417,383391,385444,387313,389251,392263,392252,392282,391346,388398,387092,385583,384121,383256,382906,383543,382839,380643,378064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and Southern Africa,Upper,442351,442118,439577,437027,438467,438775,438697,439038,440322,438413,437000,434991,430282,427433,425180,422986,421101,420036,419988,420812,420420,420537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa,Lower,112308,111654,110750,110313,109964,109622,109454,109354,109268,109433,110184,110873,111214,111194,109911,107963,104089,101422,98580,95534,93513,91328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa,Median,128358,127303,125942,125281,124694,124112,123566,123483,122966,122718,123566,124195,124816,124844,123980,121903,117281,114677,111769,108278,106321,104206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa,Upper,155349,153423,151384,150056,148627,147317,145897,145021,143927,143695,144436,145040,145689,145939,145393,143135,138007,135320,132512,128811,127348,125530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Lower,1120635,1119994,1104433,1091135,1067841,1026839,990433,960495,930394,905388,874681,848094,829082,810102,777624,738684,704381,662356,627981,593327,562912,541160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Median,1324629,1307143,1275991,1241175,1205466,1153197,1105246,1067658,1027366,991887,951965,914730,891395,870760,833240,792341,755296,711969,679717,645861,619526,602747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Upper,1599905,1554459,1495322,1432331,1374816,1309126,1245416,1198245,1145133,1096621,1040369,993889,962949,938855,896998,853853,817855,773047,741497,709749,689893,681404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia and Pacific,Lower,417032,400059,392270,383733,373209,360787,352641,346040,341447,333686,317658,305141,308251,285875,272325,250676,238021,225636,197745,183893,164980,152784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia and Pacific,Median,448140,431370,425742,417031,407181,394392,383038,374199,366223,354908,337407,322855,323129,300156,286142,264390,251702,239481,212741,200174,181241,169030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia and Pacific,Upper,490819,471380,468623,461670,451361,437184,422832,410767,397653,381399,362569,345620,342638,318840,304725,283119,271187,259308,234099,223285,204994,193103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and Caribbean,Lower,121321,117525,113652,109791,106776,103820,100753,98224,95979,94691,93100,91737,89941,87947,86349,85014,82841,80274,78167,75104,72690,70307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and Caribbean,Median,130755,126134,121520,117188,113787,110438,107171,104294,101892,100281,98321,96840,94959,92944,91119,89869,87649,85020,82969,79798,77591,75307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and Caribbean,Upper,145124,139197,133346,128077,123908,120024,116131,112848,110036,108170,105913,104150,101853,99850,97843,96709,94318,91873,89827,86736,84785,82948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,Lower,14156,13953,13598,13465,13433,13120,13410,13728,13957,13138,12785,12617,12646,12486,12194,12106,12031,11696,11320,11034,10833,10443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,Median,14582,14331,13956,13826,13804,13462,13757,14099,14353,13477,13124,12949,12975,12809,12507,12414,12345,11991,11614,11327,11164,11237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,Upper,15011,14707,14332,14199,14163,13835,14124,14484,14723,13847,13461,13284,13323,13139,12844,12739,12678,12312,11923,11634,11496,12098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Central Asia,Lower,65558,64190,61871,60073,58843,57282,56392,55756,55364,53935,52513,51454,51054,49182,48296,47929,46811,43739,41848,40092,39480,38274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Central Asia,Median,70015,68392,65601,63484,62118,60324,59239,58556,57984,56403,54790,53651,53227,51338,50424,50068,48896,45792,44001,42289,41689,40443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Central Asia,Upper,76619,74475,71108,68675,66870,64760,63450,62555,61797,60004,58206,56912,56457,54536,53653,53203,51998,48860,47234,45592,45099,43816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe and Central Asia,Lower,46551,45831,44132,42727,41872,40777,40039,39747,39413,38476,37249,36682,36662,35469,34768,34552,33429,30672,29150,27824,27419,26249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe and Central Asia,Median,50987,49995,47819,46112,45111,43794,42894,42501,41999,40943,39527,38874,38833,37641,36915,36705,35510,32736,31317,29989,29580,28373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe and Central Asia,Upper,57541,55992,53313,51222,49828,48126,47107,46477,45799,44530,42934,42102,42053,40810,40124,39813,38614,35790,34530,33251,32925,31670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,Lower,18491,17922,17300,16851,16454,15987,15823,15561,15524,15057,14938,14486,14146,13483,13343,13176,13169,12809,12377,11942,11699,11579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,Median,19028,18397,17782,17372,17007,16530,16345,16055,15985,15460,15263,14777,14394,13697,13509,13363,13386,13056,12684,12300,12109,12070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,Upper,19626,18916,18345,17979,17634,17140,16949,16620,16517,15912,15625,15100,14677,13938,13690,13568,13617,13334,13030,12725,12611,12692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,Lower,2702977,2683903,2660721,2627689,2591327,2537271,2491888,2452387,2414831,2376843,2330744,2285409,2265083,2222519,2170805,2108196,2055422,1998066,1937718,1885763,1835200,1798237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,Median,2909850,2875007,2833895,2787592,2741249,2677218,2618575,2574781,2531522,2485577,2429863,2380003,2356128,2309599,2256323,2192028,2137288,2077793,2017927,1966856,1918666,1884935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,Upper,3244083,3179731,3110870,3036150,2970310,2892909,2821126,2767544,2714307,2654177,2585036,2525827,2494859,2445862,2389676,2325414,2273088,2214457,2158695,2113433,2069478,2046421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
